geneID,coefficient,absolute_coefficient,direction,best_model,best_params
ENSG00000277452.1,-0.08815665955504126,0.08815665955504126,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000240652.1,-0.08574627534531802,0.08574627534531802,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000120217.14,0.08492458991211876,0.08492458991211876,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000136010.14,-0.08389253133220075,0.08389253133220075,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000244384.3,-0.0821126138597824,0.0821126138597824,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000198929.13,-0.07808051478642652,0.07808051478642652,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000163235.16,0.07662844066515546,0.07662844066515546,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000205592.15,0.07648352640373864,0.07648352640373864,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000164047.6,0.07640579381745781,0.07640579381745781,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000124212.6,-0.07587486269562171,0.07587486269562171,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000227115.8,0.07411586703575589,0.07411586703575589,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000174885.13,-0.07204498850097173,0.07204498850097173,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000115318.12,0.07182020277293719,0.07182020277293719,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000146966.13,-0.07043998808275144,0.07043998808275144,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000266720.2,-0.07035989676157371,0.07035989676157371,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000099985.4,-0.06485048434805846,0.06485048434805846,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000164199.18,0.06408010780462901,0.06408010780462901,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000138080.14,-0.06222445349755539,0.06222445349755539,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000092969.12,-0.060411094079329056,0.060411094079329056,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000166947.15,0.06007189525804565,0.06007189525804565,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000222985.1,0.05937392223668048,0.05937392223668048,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000259905.7,0.05934769691062534,0.05934769691062534,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000114487.10,-0.05203626180821382,0.05203626180821382,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000270055.1,-0.05050623179664251,0.05050623179664251,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000198502.6,0.0492387758781287,0.0492387758781287,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000080618.17,-0.04919518446254523,0.04919518446254523,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000121310.17,0.04643410338241595,0.04643410338241595,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000110203.9,-0.04561853475138321,0.04561853475138321,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
