geneID,ensembl_gene_id,gene_symbol,mapping_status,coefficient,absolute_coefficient,direction,best_model,best_params
ENSG00000225972.1,ENSG00000225972,MTND1P23,mapped,-0.112820692656426,0.112820692656426,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000212864.3,ENSG00000212864,RNF208,mapped,0.1113466002956603,0.1113466002956603,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000160284.15,ENSG00000160284,SPATC1L,mapped,-0.1074287922690775,0.1074287922690775,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000173894.11,ENSG00000173894,CBX2,mapped,-0.1019488993005294,0.1019488993005294,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000010030.14,ENSG00000010030,ETV7,mapped,0.1012252913234655,0.1012252913234655,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000164692.18,ENSG00000164692,COL1A2,mapped,-0.0979991804516854,0.0979991804516854,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000140807.7,ENSG00000140807,NKD1,mapped,-0.0970835146428771,0.0970835146428771,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000140470.15,ENSG00000140470,ADAMTS17,mapped,0.0954762335315507,0.0954762335315507,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000198019.13,ENSG00000198019,FCGR1B,mapped,0.0933894330234786,0.0933894330234786,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000277452.1,ENSG00000277452,RN7SL473P,mapped,-0.0881566595550412,0.0881566595550412,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000240652.1,ENSG00000240652,RP11-832N8.1,mapped,-0.085746275345318,0.085746275345318,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000120217.14,ENSG00000120217,CD274,mapped,0.0849245899121187,0.0849245899121187,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
